objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Bruxelles 1893","144592","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198171","7.1161","7.65392","3.5915","282","5455","thing","Bruxelles 1893","2","5","125","125","50","2013","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bunny Kingdom","184921","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198210","7.07309","7.45831","2.2482","315","9520","thing","Bunny Kingdom","2","4","60","60","40","2017","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros.","172081","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198101","7.21314","7.56339","2.2864","227","13115","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ca$h 'n Guns (Second Edition)","155362","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198616","6.73586","6.9095","1.2627","653","17713","thing","Ca$h 'n Guns (Second Edition)","4","8","30","30","30","2014","4,5,6,7,8","6,7,8","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cacao","171499","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198484","6.82833","7.11568","1.8209","542","9837","thing","Cacao","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up","153938","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198386","6.91397","7.04842","1.4846","464","27792","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7,8","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198444","6.86219","7.68959","1.4667","512","4778","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197985","7.37034","7.58713","2.1241","143","20465","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198032","7.31064","7.41859","1.9152","174","140671","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Hunters and Gatherers","4390","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198402","6.8963","7.13382","1.9187","478","13612","thing","Carcassonne: Hunters and Gatherers","2","5","35","35","35","2002","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The Castle","7717","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198525","6.79824","7.09376","1.986","576","10961","thing","Carcassonne: The Castle","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The City","12902","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198604","6.74519","7.20449","2.2628","643","6252","thing","Carcassonne: The City","2","4","45","45","30","2004","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carpe Diem","245934","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198283","7.00569","7.59021","2.5231","377","5529","thing","Carpe Diem","2","4","75","75","45","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carson City","39938","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198366","6.93441","7.2553","3.1814","447","5609","thing","Carson City","2","5","90","90","90","2009","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198041","7.29342","7.74873","1.887","180","11914","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197827","8.01307","8.13181","2.9987","14","59674","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy: The Card Game","191977","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198670","6.70524","7.05229","2.5366","699","11402","thing","The Castles of Burgundy: The Card Game","1","4","60","60","30","2016","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197962","7.41248","7.57456","2.6531","125","27104","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198287","7.00043","7.16164","2.326","381","145270","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: Cave vs Cave","220520","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198560","6.78206","7.21919","2.5664","603","9456","thing","Caverna: Cave vs Cave","1","2","40","40","20","2017","1,2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: The Cave Farmers","102794","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197843","7.86069","8.03162","3.7847","27","33749","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Caylus","18602","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197887","7.61874","7.78176","3.8057","64","26321","thing","Caylus","2","5","150","150","60","2005","2,3,4,5","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Celestia","175117","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198628","6.73125","7.00555","1.3284","662","10426","thing","Celestia","2","6","30","30","30","2015","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Century: Eastern Wonders","242574","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198504","6.8093","7.24627","2.1236","561","9602","thing","Century: Eastern Wonders","2","4","45","45","30","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Century: Golem Edition","232832","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198076","7.24457","7.72819","1.632","206","9476","thing","Century: Golem Edition","2","5","45","45","30","2017","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Century: Spice Road","209685","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198116","7.1861","7.37624","1.769","238","22233","thing","Century: Spice Road","2","5","45","45","30","2017","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Champions of Midgard","172287","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197928","7.49365","7.78056","2.5889","97","17881","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Chaos in the Old World","43111","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197953","7.42503","7.67538","3.1877","118","14540","thing","Chaos in the Old World","3","4","120","120","60","2009","3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Charterstone","197376","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198154","7.13696","7.43306","2.8182","270","20804","thing","Charterstone","1","6","75","75","45","2017","2,3,4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chess","171","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198370","6.92895","7.10929","3.7076","451","37513","thing","Chess","2","2","60","60","60","1475","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chicago Express","31730","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198356","6.94007","7.23696","2.787","439","8054","thing","Chicago Express","2","6","60","60","60","2007","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chinatown","47","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198271","7.01672","7.31666","2.2797","367","9690","thing","Chinatown","3","5","60","60","60","1999","4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicles of Crime","239188","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74197960","7.41305","7.85514","2.1224","124","20581","thing","Chronicles of Crime","1","4","90","90","60","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Churchill","132018","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198512","6.80521","7.67705","3.2473","568","3613","thing","Churchill","1","3","300","300","60","2015","3","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Citadels","478","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198303","6.98307","7.08632","2.0526","394","62405","thing","Citadels","2","8","60","60","20","2000","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Citadels","205398","0","","0","1","0","0","0","0","0","0","0","1","","","","","","74198389","6.913","7.32311","1.9764","466","12324","thing","Citadels","2","8","60","60","30","2016","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
